i: 990277 -> +00d 03:06:31.50 pm - 0x5895B9AF
0x5895B9AF
0x46008C4F
Copy Prot Place: 4
PreLevel00: 0x46008c4f <<<--- Press enter here
PreLevel01: 0xf856f5d6
PreLevel02: 0x11f09541
Level 1, Step 0123/0244: - RNG: 0x3097109f, IGT: 60:599, Loose: 21, Move: '...R...', Room: 3
Level 1, Step 0124/0244: - RNG: 0x85bbbc11, IGT: 60:598, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0125/0244: - RNG: 0x6fe41313, IGT: 60:597, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0126/0244: - RNG: 0x069ff225, IGT: 60:596, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0127/0244: - RNG: 0x1d9219c7, IGT: 60:595, Loose: 21, Move: '...RU..', Room: 3
Level 1, Step 0128/0244: - RNG: 0x41a74e79, IGT: 60:594, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0129/0244: - RNG: 0x850678bb, IGT: 60:593, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0130/0244: - RNG: 0xb781c50d, IGT: 60:592, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0131/0244: - RNG: 0xd790c3ef, IGT: 60:591, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0132/0244: - RNG: 0x281b89e1, IGT: 60:590, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0133/0244: - RNG: 0xf99ecf63, IGT: 60:589, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0134/0244: - RNG: 0xe97110f5, IGT: 60:588, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0135/0244: - RNG: 0xb030af17, IGT: 60:587, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0136/0244: - RNG: 0xa0a30e49, IGT: 60:586, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0137/0244: - RNG: 0x428cb70b, IGT: 60:585, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0138/0244: - RNG: 0x114a75dd, IGT: 60:584, Loose: 21, Move: '...R...', Room: 3
Level 1, Step 0139/0244: - RNG: 0xe4337b3f, IGT: 60:583, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0140/0244: - RNG: 0xf70c7bb1, IGT: 60:582, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0141/0244: - RNG: 0x7b13cfb3, IGT: 60:581, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0142/0244: - RNG: 0x1d6e93c5, IGT: 60:580, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0143/0244: - RNG: 0x95fec867, IGT: 60:579, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0144/0244: - RNG: 0x29ea7219, IGT: 60:578, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0145/0244: - RNG: 0xa75bb95b, IGT: 60:577, Loose: 21, Move: '...R...', Room: 3
Level 1, Step 0146/0244: - RNG: 0xcc420aad, IGT: 60:576, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0147/0244: - RNG: 0xd81c368f, IGT: 60:575, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0148/0244: - RNG: 0x49139181, IGT: 60:574, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0149/0244: - RNG: 0x06f01403, IGT: 60:573, Loose: 21, Move: '...R...', Room: 3
Level 1, Step 0150/0244: - RNG: 0xc7b965b7, IGT: 60:572, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0151/0244: - RNG: 0x642279e9, IGT: 60:571, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0152/0244: - RNG: 0x77407fab, IGT: 60:570, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0153/0244: - RNG: 0x129d837d, IGT: 60:569, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0154/0244: - RNG: 0xb727f5df, IGT: 60:568, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0155/0244: - RNG: 0x08f5cb51, IGT: 60:567, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0156/0244: - RNG: 0xe6209c53, IGT: 60:566, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0157/0244: - RNG: 0x2182c565, IGT: 60:565, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0158/0244: - RNG: 0x685d8707, IGT: 60:564, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0159/0244: - RNG: 0x523025b9, IGT: 60:563, Loose: 21, Move: '..L....', Room: 9
Level 1, Step 0160/0244: - RNG: 0xd44809fb, IGT: 60:562, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0161/0244: - RNG: 0x5ed1e04d, IGT: 60:561, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0162/0244: - RNG: 0x5773b92f, IGT: 60:560, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0163/0244: - RNG: 0x85b82921, IGT: 60:559, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0164/0244: - RNG: 0xe7d268a3, IGT: 60:558, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0165/0244: - RNG: 0x5a837435, IGT: 60:557, Loose: 21, Move: '....U..', Room: 9
Level 1, Step 0166/0244: - RNG: 0x15282c57, IGT: 60:556, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0167/0244: - RNG: 0x43387589, IGT: 60:555, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0168/0244: - RNG: 0x8ebf584b, IGT: 60:554, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0169/0244: - RNG: 0x4b94211d, IGT: 60:553, Loose: 21, Move: '.......', Room: 9
Level 1, Step 0170/0244: - RNG: 0xb15c807f, IGT: 60:552, Loose: 21, Move: '.......', Room: 9
